coord,HE_instances,ST_instances,merged_instances,out_mask,out_info
r0_c1280,20,82,101,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c1280_merged_mask_info.csv
r0_c1792,55,49,98,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c1792_merged_mask_info.csv
r0_c2304,51,73,101,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c2304_merged_mask_info.csv
r0_c256,85,68,148,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c256_merged_mask_info.csv
r0_c2816,19,12,28,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c2816_merged_mask_info.csv
r0_c768,2,112,113,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r0_c768_merged_mask_info.csv
r1024_c1280,88,80,163,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c1280_merged_mask_info.csv
r1024_c1792,41,82,120,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c1792_merged_mask_info.csv
r1024_c2304,73,39,108,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c2304_merged_mask_info.csv
r1024_c256,122,51,162,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c256_merged_mask_info.csv
r1024_c2816,111,48,139,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c2816_merged_mask_info.csv
r1024_c768,89,22,106,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1024_c768_merged_mask_info.csv
r1536_c1280,1,106,106,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c1280_merged_mask_info.csv
r1536_c1792,64,51,113,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c1792_merged_mask_info.csv
r1536_c2304,47,47,93,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c2304_merged_mask_info.csv
r1536_c256,55,41,93,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c256_merged_mask_info.csv
r1536_c768,12,58,69,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r1536_c768_merged_mask_info.csv
r2048_c1280,58,68,122,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c1280_merged_mask_info.csv
r2048_c1792,25,68,90,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c1792_merged_mask_info.csv
r2048_c2304,42,65,105,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c2304_merged_mask_info.csv
r2048_c256,31,22,53,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c256_merged_mask_info.csv
r2048_c2816,64,46,107,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c2816_merged_mask_info.csv
r2048_c768,66,98,161,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2048_c768_merged_mask_info.csv
r2560_c1280,56,61,112,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c1280_merged_mask_info.csv
r2560_c1792,66,23,86,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c1792_merged_mask_info.csv
r2560_c2304,82,91,168,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c2304_merged_mask_info.csv
r2560_c2816,11,9,15,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c2816_merged_mask_info.csv
r2560_c768,21,6,12,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r2560_c768_merged_mask_info.csv
r512_c1280,39,67,102,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r512_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r512_c1280_merged_mask_info.csv
r512_c1792,98,85,177,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r512_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_FF_Human_Tonsil/maskann_size-512/sam2_merged_masks/r512_c1792_merged_mask_info.csv
