id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,159,405.0,285.0,14.0,11.0,0.953125,1.0,ST
2,172,436.0,432.0,13.0,14.0,0.90234375,0.977142870426178,ST
3,668,447.0,271.0,43.0,39.0,0.921875,0.9748520851135254,ST
4,338,159.0,25.0,16.0,24.0,0.9296875,0.9710144996643066,ST
5,165,149.0,0.0,14.0,13.0,0.89453125,0.9702380895614624,ST
6,1060,426.0,273.0,41.0,38.0,0.9609375,0.9676225781440736,ST
7,509,365.0,57.0,42.0,20.0,0.93359375,0.963601529598236,ST
8,471,400.0,292.0,30.0,22.0,0.91015625,0.9625779390335084,ST
9,128,108.0,273.0,13.0,12.0,0.8671875,0.9621211886405944,ST
10,125,214.0,257.0,11.0,12.0,0.8671875,0.960629940032959,ST
11,140,194.0,0.0,13.0,12.0,0.875,0.9586206674575806,ST
12,1754,158.0,171.0,87.0,52.0,0.9375,0.9582405090332032,ST
13,207,90.0,123.0,15.0,16.0,0.8671875,0.957345962524414,ST
14,181,88.0,257.0,14.0,16.0,0.87890625,0.9562841653823853,ST
15,245,311.0,426.0,19.0,15.0,0.9140625,0.9554656147956848,ST
16,217,169.0,245.0,16.0,16.0,0.8828125,0.9547511339187622,ST
17,352,80.0,415.0,22.0,23.0,0.91015625,0.9523809552192688,ST
18,243,259.0,256.0,19.0,14.0,0.921875,0.9521912336349488,ST
19,447,121.0,34.0,27.0,21.0,0.9140625,0.95175439119339,ST
20,305,192.0,229.0,16.0,26.0,0.8828125,0.9516128897666932,ST
21,175,147.0,55.0,14.0,14.0,0.859375,0.9497206807136536,ST
22,172,125.0,91.0,12.0,16.0,0.89453125,0.9485714435577391,ST
23,299,485.0,327.0,21.0,18.0,0.87109375,0.9477124214172364,ST
24,185,439.0,412.0,13.0,16.0,0.87890625,0.9470899701118468,ST
25,192,238.0,361.0,16.0,14.0,0.890625,0.9444444179534912,ST
26,101,49.0,322.0,10.0,12.0,0.796875,0.942307710647583,ST
27,325,234.0,217.0,21.0,23.0,0.87109375,0.9406528472900392,ST
28,310,179.0,76.0,19.0,20.0,0.89453125,0.9376947283744812,ST
29,1043,0.0,222.0,26.0,71.0,0.90625,0.9368029832839966,ST
30,576,159.0,24.0,28.0,25.0,0.890625,0.936026930809021,ST
31,148,391.0,282.0,13.0,14.0,0.7734375,0.9350649118423462,ST
32,207,133.0,400.0,13.0,19.0,0.8046875,0.9345794320106506,ST
33,838,0.0,222.0,24.0,50.0,0.87890625,0.9343317747116088,ST
34,94,218.0,343.0,9.0,10.0,0.7734375,0.9300000071525574,ST
35,731,370.0,92.0,35.0,34.0,0.90625,0.9286657571792604,ST
36,729,0.0,0.0,26.0,30.0,0.8359375,0.9274406433105468,ST
37,246,377.0,14.0,16.0,19.0,0.74609375,0.9272030591964722,ST
38,199,307.0,315.0,17.0,14.0,0.8359375,0.9271844625473022,ST
39,2614,15.0,18.0,78.0,56.0,0.89453125,0.9267305135726928,ST
40,10953,425.0,338.0,86.0,173.0,0.94921875,0.9261105060577391,ST
41,272,231.0,177.0,23.0,17.0,0.8359375,0.9260563254356384,ST
42,478,391.0,65.0,36.0,24.0,0.734375,0.9254032373428344,ST
43,125,173.0,52.0,12.0,11.0,0.890625,0.9242424368858336,ST
44,2114,20.0,452.0,53.0,59.0,0.8828125,0.9225192666053772,ST
45,281,197.0,135.0,17.0,21.0,0.84375,0.9217687249183656,ST
46,4528,408.0,1.0,103.0,59.0,0.94921875,0.9216969013214112,ST
47,2385,336.0,310.0,41.0,84.0,0.8671875,0.9212851524353028,ST
48,2732,1804.0,0.0,68.0,67.0,0.94921875,0.9919795989990234,HE
49,2085,1296.0,668.0,63.0,61.0,0.9375,0.9819305539131165,HE
50,656796,0.0,0.0,1054.0,706.0,0.98828125,0.9716716408729552,HE
51,3061,0.0,652.0,44.0,86.0,0.93359375,0.9713088274002076,HE
52,1927,1652.0,320.0,52.0,61.0,0.90234375,0.970858871936798,HE
53,2532,1104.0,559.0,84.0,52.0,0.93359375,0.9704739451408386,HE
54,2073,1827.0,873.0,45.0,66.0,0.8828125,0.9695962071418762,HE
55,9307,1527.0,633.0,97.0,187.0,0.9609375,0.9694082736968994,HE
56,961,1744.0,271.0,28.0,48.0,0.90625,0.9662576913833618,HE
57,4163,1503.0,394.0,113.0,72.0,0.94140625,0.966225802898407,HE
58,317291,1267.0,1022.0,605.0,851.0,0.98828125,0.9623560309410096,HE
