id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,285,123.0,18.0,15.0,26.0,0.92578125,0.9895470142364502,ST
2,505,138.0,0.0,29.0,28.0,0.96875,0.9881889820098876,ST
3,105,213.0,33.0,7.0,16.0,0.8828125,0.9811320900917052,ST
4,729,105.0,0.0,32.0,28.0,0.953125,0.976902186870575,ST
5,900,0.0,475.0,35.0,36.0,0.9296875,0.9758771657943726,ST
6,173,470.0,0.0,12.0,15.0,0.89453125,0.9715909361839294,ST
7,181,5.0,68.0,16.0,13.0,0.91796875,0.9670329689979552,ST
8,248,16.0,320.0,16.0,19.0,0.92578125,0.964143455028534,ST
9,205,29.0,257.0,15.0,15.0,0.91015625,0.961904764175415,ST
10,50,157.0,139.0,6.0,8.0,0.84375,0.959999978542328,ST
11,169,215.0,475.0,13.0,14.0,0.921875,0.9595375657081604,ST
12,120,259.0,306.0,12.0,11.0,0.87109375,0.9586777091026306,ST
13,1493,0.0,0.0,45.0,40.0,0.94140625,0.9581425786018372,ST
14,128,89.0,245.0,11.0,12.0,0.90234375,0.9538461565971376,ST
15,279,162.0,319.0,16.0,23.0,0.875,0.9508771896362304,ST
16,13449,106.0,0.0,216.0,206.0,0.96484375,0.9506136775016784,ST
17,114,71.0,350.0,10.0,12.0,0.9140625,0.9495798349380492,ST
18,346,483.0,0.0,28.0,14.0,0.89453125,0.9495798349380492,ST
19,58,138.0,452.0,8.0,9.0,0.86328125,0.9491525292396544,ST
20,167,213.0,28.0,11.0,21.0,0.875,0.9470587968826294,ST
21,148,3.0,340.0,14.0,12.0,0.90234375,0.9470198750495912,ST
22,344,94.0,121.0,19.0,23.0,0.87890625,0.9460227489471436,ST
23,296,17.0,224.0,25.0,14.0,0.89453125,0.9448052048683168,ST
24,155,30.0,64.0,14.0,13.0,0.89453125,0.9433962106704712,ST
25,191,83.0,419.0,14.0,15.0,0.8515625,0.9432989954948424,ST
26,6528,347.0,0.0,164.0,56.0,0.96484375,0.9431026577949524,ST
