id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,23553,1342.0,0.0,186.0,178.0,0.9765625,0.9888954758644104,HE
2,23718,984.0,558.0,198.0,195.0,0.98046875,0.9842332005500792,HE
3,192481,2066.0,2324.0,373.0,709.0,0.98828125,0.9815451502799988,HE
4,33768,3600.0,323.0,137.0,285.0,0.953125,0.9801477789878844,HE
5,50332,1532.0,0.0,263.0,256.0,0.94921875,0.9777668714523317,HE
6,12556,1511.0,2302.0,85.0,200.0,0.94140625,0.9768667817115784,HE
7,25347,1536.0,2547.0,112.0,335.0,0.95703125,0.9749990105628968,HE
8,28807,3173.0,1981.0,155.0,284.0,0.95703125,0.972621500492096,HE
9,3296,2375.0,500.0,52.0,108.0,0.921875,0.972205638885498,HE
10,3066,958.0,2546.0,66.0,60.0,0.90234375,0.9717041850090028,HE
11,8766,160.0,1167.0,85.0,152.0,0.90625,0.9686939120292664,HE
12,12784,1227.0,404.0,140.0,154.0,0.9296875,0.9679054021835328,HE
13,5849,1993.0,859.0,108.0,87.0,0.94921875,0.9678775668144226,HE
14,23619,440.0,159.0,238.0,162.0,0.93359375,0.9671619534492492,HE
15,24177,1504.0,1741.0,118.0,298.0,0.9453125,0.9663684368133544,HE
16,10209,328.0,158.0,129.0,123.0,0.94140625,0.9658259749412536,HE
17,14232,2563.0,3633.0,170.0,109.0,0.90625,0.964310348033905,HE
18,7071,1032.0,1793.0,104.0,100.0,0.90234375,0.9636313319206238,HE
19,2312,1486.0,2076.0,49.0,55.0,0.91015625,0.9631043076515198,HE
20,11476,2811.0,1954.0,137.0,161.0,0.9453125,0.9629787802696228,HE
21,13221,1577.0,1557.0,101.0,201.0,0.94140625,0.9629052877426147,HE
22,23762,3615.0,2835.0,122.0,334.0,0.9296875,0.9627167582511902,HE
23,5924,812.0,3268.0,103.0,106.0,0.91796875,0.961066961288452,HE
24,6052,980.0,1135.0,101.0,84.0,0.91015625,0.9595010280609132,HE
25,578919,0.0,1702.0,715.0,2040.0,0.96875,0.959456503391266,HE
26,4504,2109.0,1282.0,77.0,103.0,0.92578125,0.9592681527137756,HE
27,66556,2277.0,1067.0,257.0,369.0,0.93359375,0.9565638899803162,HE
28,59345,3037.0,3127.0,263.0,478.0,0.94140625,0.9564400315284728,HE
30,4318,846.0,1120.0,64.0,82.0,0.90625,0.9560190439224244,HE
31,3541,2094.0,2973.0,71.0,62.0,0.921875,0.9558255076408386,HE
32,3401,1270.0,2372.0,80.0,58.0,0.91796875,0.9556255340576172,HE
33,5321,2703.0,2535.0,74.0,113.0,0.91015625,0.954386591911316,HE
34,42614,2092.0,549.0,239.0,296.0,0.953125,0.953696310520172,HE
35,10870,1877.0,1891.0,100.0,141.0,0.90234375,0.9529496431350708,HE
36,23287,0.0,2456.0,137.0,249.0,0.87890625,0.9516873955726624,HE
37,4126,692.0,1859.0,77.0,86.0,0.91015625,0.9510059356689452,HE
38,51994,1993.0,549.0,338.0,395.0,0.96484375,0.949032425880432,HE
39,17262,1251.0,3648.0,213.0,94.0,0.8046875,0.9466989636421204,HE
40,508472,2748.0,10.0,642.0,1166.0,0.9609375,0.9462792873382568,HE
41,3413,2517.0,1326.0,73.0,57.0,0.87109375,0.9462151527404784,HE
42,65449,2614.0,1956.0,337.0,392.0,0.953125,0.9456315636634828,HE
43,91159,2011.0,2976.0,270.0,766.0,0.9453125,0.94487327337265,HE
44,9207,2425.0,1913.0,103.0,155.0,0.87890625,0.9445968866348268,HE
45,11830,1051.0,1077.0,168.0,114.0,0.921875,0.9444854855537416,HE
46,2790,1887.0,681.0,57.0,64.0,0.90234375,0.9440389275550842,HE
47,13820752,0.0,0.0,3737.0,3742.0,0.98828125,0.9437524676322936,HE
48,27237,2010.0,3457.0,145.0,285.0,0.94140625,0.9360068440437316,HE
49,306868,0.0,0.0,1415.0,282.0,0.96875,0.9290854334831238,HE
50,40786,401.0,3504.0,267.0,238.0,0.87890625,0.9259250164031982,HE
51,50158,1061.0,3543.0,399.0,199.0,0.8359375,0.9225302934646606,HE
52,196923,3315.0,0.0,422.0,730.0,0.796875,0.9216679930686952,HE
53,4986,0.0,0.0,179.0,35.0,0.96484375,0.9594514966011048,ST
56,195,372.0,498.0,20.0,13.0,0.86328125,0.9504950642585754,ST
62,318,437.0,497.0,27.0,14.0,0.875,0.9422492384910583,ST
68,770,279.0,407.0,26.0,39.0,0.85546875,0.9225000143051147,ST
70,10655,0.0,229.0,94.0,282.0,0.93359375,0.9215704202651978,ST
