coord,HE_instances,ST_instances,merged_instances,out_mask,out_info
r0_c1280,113,59,166,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c1280_merged_mask_info.csv
r0_c1792,116,45,134,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c1792_merged_mask_info.csv
r0_c2304,100,25,103,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c2304_merged_mask_info.csv
r0_c256,55,13,66,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c256_merged_mask_info.csv
r0_c2816,66,35,88,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c2816_merged_mask_info.csv
r0_c768,80,18,95,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r0_c768_merged_mask_info.csv
r1024_c1280,54,27,71,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c1280_merged_mask_info.csv
r1024_c1792,101,87,177,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c1792_merged_mask_info.csv
r1024_c2304,124,74,165,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c2304_merged_mask_info.csv
r1024_c256,37,24,56,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c256_merged_mask_info.csv
r1024_c2816,89,40,116,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c2816_merged_mask_info.csv
r1024_c768,63,36,94,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1024_c768_merged_mask_info.csv
r1536_c1280,59,41,98,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c1280_merged_mask_info.csv
r1536_c1792,84,44,107,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c1792_merged_mask_info.csv
r1536_c2304,59,33,78,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c2304_merged_mask_info.csv
r1536_c256,65,24,77,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c256_merged_mask_info.csv
r1536_c2816,70,28,83,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c2816_merged_mask_info.csv
r1536_c768,35,30,60,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c768_merged_mask_info.csv
r2048_c1280,46,25,66,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c1280_merged_mask_info.csv
r2048_c1792,61,43,94,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c1792_merged_mask_info.csv
r2048_c2304,72,49,107,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c2304_merged_mask_info.csv
