id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,325,239.0,268.0,21.0,21.0,0.890625,0.9697884917259216,ST
2,422,295.0,500.0,42.0,11.0,0.921875,0.9672897458076476,ST
3,789,107.0,197.0,35.0,29.0,0.9140625,0.9663341641426086,ST
4,595,116.0,198.0,26.0,29.0,0.91015625,0.9634551405906676,ST
5,34208,251.0,350.0,251.0,160.0,0.98046875,0.958334505558014,ST
6,1110,161.0,186.0,43.0,30.0,0.9140625,0.9576719403266908,ST
7,3117,317.0,295.0,75.0,56.0,0.95703125,0.9551864862442015,ST
8,3681,0.0,34.0,53.0,108.0,0.921875,0.9492466449737548,ST
9,1650,0.0,431.0,30.0,80.0,0.8984375,0.9428402781486512,ST
10,2171,0.0,403.0,61.0,107.0,0.9453125,0.9425493478775024,ST
11,2133,0.0,213.0,32.0,85.0,0.92578125,0.941685676574707,ST
12,748,500.0,356.0,11.0,116.0,0.91796875,0.9401820302009584,ST
13,256,210.0,53.0,21.0,23.0,0.84375,0.9389312863349916,ST
14,796,492.0,354.0,19.0,124.0,0.80078125,0.9381067752838136,ST
15,236,38.0,368.0,17.0,21.0,0.8515625,0.9380165338516236,ST
16,604,194.0,481.0,25.0,30.0,0.875,0.9376996755599976,ST
17,1712,393.0,55.0,34.0,64.0,0.91015625,0.9360498189926147,ST
18,669,94.0,387.0,34.0,43.0,0.87109375,0.9350649118423462,ST
19,370,190.0,346.0,21.0,21.0,0.88671875,0.934725821018219,ST
20,2659,376.0,475.0,90.0,36.0,0.94140625,0.9334787130355836,ST
21,2791,0.0,300.0,49.0,71.0,0.92578125,0.9325920939445496,ST
22,377,350.0,255.0,31.0,16.0,0.88671875,0.9307692050933838,ST
23,4286,107.0,405.0,134.0,106.0,0.94140625,0.9247578382492064,ST
24,61,157.0,159.0,5.0,10.0,0.7734375,0.921875,ST
25,9765,1433.0,3519.0,110.0,169.0,0.96875,0.9873881340026855,HE
26,146674,2373.0,2149.0,515.0,376.0,0.98828125,0.9872751235961914,HE
27,163453,0.0,2993.0,402.0,695.0,0.98828125,0.9868869185447692,HE
29,29976,1080.0,1412.0,183.0,274.0,0.97265625,0.979523777961731,HE
30,6986,1340.0,2084.0,212.0,54.0,0.94921875,0.9771089553833008,HE
34,46111,156.0,2297.0,299.0,528.0,0.97265625,0.9718011617660522,HE
35,22135,1514.0,3497.0,180.0,191.0,0.95703125,0.9689432978630066,HE
37,20986,0.0,0.0,143.0,248.0,0.91015625,0.968729555606842,HE
38,207963,498.0,3345.0,921.0,343.0,0.97265625,0.9686195254325868,HE
39,130958,0.0,2917.0,544.0,771.0,0.98046875,0.9680224061012268,HE
40,8624,2565.0,1857.0,125.0,95.0,0.94140625,0.9672337174415588,HE
41,13473,881.0,2334.0,284.0,127.0,0.91796875,0.9657714366912842,HE
42,16341,697.0,532.0,186.0,178.0,0.921875,0.9632719159126282,HE
43,95360,2883.0,391.0,253.0,459.0,0.96875,0.9630639553070068,HE
44,55709,1225.0,1365.0,302.0,231.0,0.94921875,0.9615607857704164,HE
45,5113,1131.0,1923.0,86.0,81.0,0.9140625,0.9601303339004515,HE
46,22527,2581.0,1832.0,264.0,140.0,0.9609375,0.9593884348869324,HE
47,14156,19.0,1002.0,140.0,157.0,0.92578125,0.9584803581237792,HE
49,257178,822.0,2861.0,989.0,827.0,0.96875,0.9557328820228576,HE
50,24101,0.0,0.0,145.0,373.0,0.8828125,0.9532649517059326,HE
51,7135,3180.0,0.0,145.0,60.0,0.8671875,0.952908992767334,HE
52,30729,1826.0,2546.0,438.0,509.0,0.953125,0.9520769715309144,HE
53,90169,1238.0,1954.0,474.0,278.0,0.92578125,0.9519252777099608,HE
54,14216,1801.0,1909.0,132.0,173.0,0.8828125,0.9514689445495604,HE
55,44399,844.0,1446.0,236.0,282.0,0.953125,0.9511285424232484,HE
56,17124,1456.0,2513.0,156.0,156.0,0.90234375,0.9497581720352172,HE
57,27144,622.0,1623.0,165.0,240.0,0.90234375,0.948844075202942,HE
58,2651,1963.0,958.0,54.0,69.0,0.8203125,0.9461538195610046,HE
59,7854,1876.0,1761.0,84.0,134.0,0.90625,0.9460698962211608,HE
61,63399,438.0,847.0,358.0,272.0,0.92578125,0.9447866678237916,HE
62,31048,0.0,2408.0,169.0,299.0,0.87890625,0.9447654485702516,HE
63,118750,3431.0,3083.0,295.0,605.0,0.9453125,0.94432270526886,HE
64,223926,444.0,394.0,557.0,724.0,0.9296875,0.9441498517990112,HE
65,7510,1578.0,1800.0,79.0,114.0,0.90234375,0.9411081075668336,HE
66,59324,552.0,2056.0,521.0,193.0,0.9375,0.939625918865204,HE
67,4717,988.0,822.0,58.0,105.0,0.91015625,0.9383070468902588,HE
69,6383,628.0,355.0,142.0,72.0,0.875,0.937850534915924,HE
70,442726,551.0,2587.0,1335.0,751.0,0.9453125,0.935877799987793,HE
71,254507,1612.0,2424.0,792.0,1256.0,0.9296875,0.935719907283783,HE
73,16260,335.0,2669.0,135.0,209.0,0.8515625,0.9347257018089294,HE
74,84515,403.0,2063.0,663.0,259.0,0.94140625,0.9341869354248048,HE
76,93673,1423.0,1721.0,499.0,380.0,0.9375,0.9335597157478333,HE
77,11720,1664.0,1738.0,200.0,96.0,0.89453125,0.9329262971878052,HE
78,31768,788.0,2253.0,435.0,180.0,0.89453125,0.9322240352630616,HE
79,6471,860.0,1433.0,204.0,171.0,0.90625,0.9318385720252992,HE
80,5757,1440.0,1753.0,67.0,123.0,0.89453125,0.928990125656128,HE
82,5032,2208.0,31.0,120.0,67.0,0.86328125,0.9268059134483336,HE
83,6658,376.0,2771.0,93.0,105.0,0.828125,0.9267303943634032,HE
84,320056,1887.0,2734.0,734.0,954.0,0.94140625,0.9255428314208984,HE
85,91709,3660.0,2571.0,124.0,1117.0,0.91015625,0.9241374135017396,HE
86,55092,973.0,1624.0,323.0,257.0,0.9140625,0.9237260222434998,HE
88,16935,561.0,3085.0,225.0,296.0,0.86328125,0.9210183024406432,HE
89,10597,1576.0,1798.0,110.0,132.0,0.8984375,0.9200615882873536,HE
