id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,1159,134.0,438.0,40.0,41.0,0.96875,0.977060317993164,ST
2,578,342.0,0.0,44.0,21.0,0.96484375,0.976068377494812,ST
3,3269,30.0,0.0,64.0,70.0,0.953125,0.9683639407157898,ST
4,7036,48.0,68.0,68.0,189.0,0.98046875,0.9654352068901062,ST
5,121,501.0,275.0,10.0,21.0,0.8046875,0.959999978542328,ST
6,694,475.0,174.0,36.0,57.0,0.921875,0.9547383189201356,ST
7,434,0.0,339.0,17.0,44.0,0.9296875,0.9545454382896424,ST
8,1954,192.0,0.0,31.0,75.0,0.9609375,0.953289806842804,ST
9,298,499.0,452.0,12.0,26.0,0.8203125,0.9482200741767884,ST
10,165,139.0,0.0,16.0,15.0,0.875,0.9470587968826294,ST
11,331,244.0,362.0,21.0,20.0,0.890625,0.9444444179534912,ST
12,11086,377.0,276.0,132.0,177.0,0.95703125,0.9429371356964112,ST
13,856,316.0,21.0,53.0,33.0,0.92578125,0.9413754343986512,ST
14,157,294.0,389.0,14.0,13.0,0.80859375,0.9371069073677064,ST
15,7107,104.0,73.0,104.0,281.0,0.94140625,0.9370657801628112,ST
16,310,9.0,102.0,14.0,31.0,0.87890625,0.9369085431098938,ST
17,2758,354.0,188.0,88.0,82.0,0.94140625,0.9360954761505128,ST
18,5628,256.0,0.0,71.0,187.0,0.94921875,0.9349663853645324,ST
19,5678,290.0,60.0,121.0,100.0,0.93359375,0.9341883063316344,ST
20,1245,56.0,313.0,44.0,71.0,0.90234375,0.9338006377220154,ST
21,5679,448.0,152.0,63.0,171.0,0.9140625,0.9337849020957948,ST
22,560,448.0,256.0,26.0,37.0,0.86328125,0.9324089884757996,ST
23,959,232.0,227.0,17.0,68.0,0.8828125,0.931174099445343,ST
24,929,201.0,433.0,48.0,24.0,0.79296875,0.9305699467658995,ST
25,3772,123.0,33.0,51.0,189.0,0.88671875,0.9285167455673218,ST
26,601,80.0,321.0,20.0,37.0,0.88671875,0.9282296895980836,ST
27,4249,122.0,1.0,70.0,222.0,0.89453125,0.9278911352157592,ST
28,2800,201.0,432.0,170.0,32.0,0.875,0.9255942106246948,ST
29,5976,282.0,0.0,129.0,159.0,0.94921875,0.9251051545143129,ST
30,12174,378.0,133.0,133.0,321.0,0.85546875,0.9234540462493896,ST
31,488,254.0,309.0,20.0,31.0,0.80859375,0.9232283234596252,ST
32,18834,0.0,358.0,235.0,153.0,0.94921875,0.9222142696380616,ST
33,396,410.0,187.0,34.0,36.0,0.82421875,0.9213759303092957,ST
34,37479,1059.0,3218.0,249.0,235.0,0.98828125,0.9903046488761902,HE
35,123268,1411.0,0.0,271.0,560.0,0.98828125,0.9869396090507508,HE
36,15518,649.0,2347.0,104.0,248.0,0.96484375,0.9780752062797546,HE
37,62412,980.0,2832.0,396.0,281.0,0.9765625,0.9778059124946594,HE
40,2759,3116.0,3476.0,137.0,39.0,0.9140625,0.9718360304832458,HE
41,8579,1755.0,1641.0,103.0,159.0,0.9375,0.970818042755127,HE
42,31521,2504.0,0.0,380.0,157.0,0.95703125,0.9703381657600404,HE
43,19752,3477.0,743.0,118.0,366.0,0.95703125,0.9686331152915956,HE
44,1349497,0.0,0.0,972.0,2744.0,0.984375,0.968477189540863,HE
47,432369,379.0,424.0,531.0,1557.0,0.98046875,0.9640628695487976,HE
48,21962,3424.0,745.0,171.0,411.0,0.93359375,0.9630358219146729,HE
49,9471,1227.0,2393.0,155.0,138.0,0.94140625,0.960857391357422,HE
51,136180,2185.0,0.0,828.0,263.0,0.9609375,0.9597855806350708,HE
53,66474,2939.0,355.0,360.0,303.0,0.96484375,0.959684193134308,HE
54,22026,1979.0,1680.0,90.0,416.0,0.94140625,0.9590047001838684,HE
55,56463,2107.0,167.0,140.0,764.0,0.921875,0.9587021470069884,HE
56,23567,2061.0,0.0,115.0,313.0,0.90625,0.9585098624229432,HE
58,103025,3025.0,0.0,392.0,380.0,0.96484375,0.9581888318061828,HE
59,26724,1367.0,2826.0,256.0,191.0,0.93359375,0.9581851959228516,HE
60,70456,2949.0,1126.0,397.0,445.0,0.953125,0.9557401537895204,HE
