id,area,bbox_y,bbox_x,bbox_h,bbox_w,tile_sources,is_boundary
1,50,370,1350,6,9,r0_c1280,False
2,50,202,1606,8,8,r0_c1280,False
3,143,289,1373,21,12,r0_c1280,False
4,83,477,1439,18,6,r0_c1280,False
5,70,116,1585,10,8,r0_c1280,False
6,895,81,1699,43,31,r0_c1280,False
7,69,410,1437,12,7,r0_c1280,False
8,134,173,1631,12,16,r0_c1280,False
9,95,393,1440,15,8,r0_c1280,False
10,155,369,1459,20,11,r0_c1280,False
11,84,351,1393,13,9,r0_c1280,False
12,192,133,1585,17,16,r0_c1280,False
13,53,347,1711,10,7,r0_c1280,False
14,98,414,1497,14,9,r0_c1280,False
15,246,486,1280,20,16,r0_c1280,False
16,195,473,1500,16,16,r0_c1280,False
17,684,322,1421,36,27,r0_c1280,False
18,1104,336,1492,51,32,r0_c1280,False
19,162,135,1619,16,15,r0_c1280,False
20,46,476,1477,8,8,r0_c1280,False
21,111,254,1521,17,9,r0_c1280,False
22,67,50,1560,11,8,r0_c1280,False
23,65,350,1565,10,9,r0_c1280,False
24,102,261,1565,15,9,r0_c1280,False
25,405,74,1645,35,16,r0_c1280,False
26,60,431,1479,10,9,r0_c1280,False
27,1192,415,1537,51,41,r0_c1280,False
28,77,393,1393,12,9,r0_c1280,False
29,89,495,1308,16,9,r0_c1280,False
30,6,382,1510,5,8,r0_c1280,False
31,275,501,1395,25,20,r0_c1280|r512_c1280,True
32,133,383,1622,15,13,r0_c1280,False
33,1069,0,1494,32,71,r0_c1280,False
34,117,436,1396,14,11,r0_c1280,False
35,109,209,1416,11,12,r0_c1280,False
36,162,493,1445,17,14,r0_c1280,False
37,166,261,1343,16,15,r0_c1280,False
38,249,240,1594,26,15,r0_c1280,False
39,124,280,1580,12,16,r0_c1280,False
40,731,107,1548,41,31,r0_c1280,False
41,106,382,1330,15,10,r0_c1280,False
42,6,128,1283,27,23,r0_c1280,False
43,395,215,1615,31,19,r0_c1280,False
44,104,489,1523,13,11,r0_c1280,False
45,91,203,1649,14,9,r0_c1280,False
46,405,137,1683,29,23,r0_c1280,False
47,61,433,1373,9,8,r0_c1280,False
48,742,125,1510,42,23,r0_c1280,False
49,216,445,1292,23,15,r0_c1280,False
50,374,169,1698,20,25,r0_c1280,False
51,4,486,1286,6,9,r0_c1280,False
52,10,22,1526,11,13,r0_c1280,False
53,217,415,1317,17,16,r0_c1280,False
54,219,273,1537,21,15,r0_c1280,False
55,213,217,1442,36,13,r0_c1280,False
56,160,341,1324,17,12,r0_c1280,False
57,144,294,1433,20,12,r0_c1280,False
58,43,128,1284,40,29,r0_c1280,False
