id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,2152,51.0,272.0,82.0,39.0,0.97265625,0.9725148677825928,ST
2,562,468.0,0.0,43.0,17.0,0.921875,0.9683655500411988,ST
3,5265,404.0,254.0,107.0,91.0,0.97265625,0.9669220447540284,ST
4,112,164.0,137.0,12.0,16.0,0.859375,0.9649122953414916,ST
5,613,300.0,268.0,35.0,23.0,0.93359375,0.9584664702415466,ST
6,316,276.0,501.0,42.0,10.0,0.8046875,0.9567901492118835,ST
7,1720,468.0,70.0,43.0,67.0,0.953125,0.9533295631408693,ST
8,263,42.0,0.0,23.0,20.0,0.8984375,0.9520295262336732,ST
9,78,457.0,223.0,9.0,10.0,0.8515625,0.949367105960846,ST
10,5591,30.0,0.0,80.0,130.0,0.9375,0.9481802582740784,ST
11,309,286.0,215.0,25.0,23.0,0.8515625,0.9460317492485046,ST
12,317,209.0,261.0,28.0,13.0,0.89453125,0.944615364074707,ST
13,1153,168.0,305.0,53.0,27.0,0.90625,0.9429529905319214,ST
14,915,0.0,212.0,22.0,59.0,0.91015625,0.94291752576828,ST
15,334,21.0,151.0,32.0,14.0,0.85546875,0.9420289993286132,ST
16,417,464.0,375.0,25.0,30.0,0.8515625,0.9415887594223022,ST
17,817,492.0,183.0,19.0,79.0,0.86328125,0.9381688237190248,ST
18,359,0.0,496.0,32.0,15.0,0.703125,0.9376693964004515,ST
19,399,333.0,18.0,15.0,44.0,0.88671875,0.93764990568161,ST
20,76,215.0,450.0,8.0,10.0,0.890625,0.9375,ST
21,4429,267.0,246.0,94.0,67.0,0.9375,0.9357095956802368,ST
22,401,0.0,464.0,15.0,36.0,0.8203125,0.9350961446762084,ST
23,273,108.0,352.0,18.0,19.0,0.85546875,0.9337978959083556,ST
24,639,124.0,431.0,27.0,30.0,0.875,0.9335347414016724,ST
25,2099,175.0,155.0,87.0,47.0,0.91796875,0.9330582022666932,ST
