coord,HE_instances,ST_instances,merged_instances,out_mask,out_info
r0_c0,349,73,387,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c0_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c0_merged_mask_info.csv
r0_c1024,334,48,361,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c1024_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c1024_merged_mask_info.csv
r0_c1152,344,53,376,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c1152_merged_mask_info.csv
r0_c128,344,62,375,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c128_merged_mask_info.csv
r0_c1536,297,47,309,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c1536_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c1536_merged_mask_info.csv
r0_c1664,301,50,309,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c1664_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c1664_merged_mask_info.csv
r0_c2048,344,65,379,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c2048_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c2048_merged_mask_info.csv
r0_c2176,351,72,394,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c2176_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c2176_merged_mask_info.csv
r0_c2560,356,66,387,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c2560_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c2560_merged_mask_info.csv
r0_c2688,359,61,395,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c2688_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c2688_merged_mask_info.csv
r0_c512,372,46,397,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c512_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c512_merged_mask_info.csv
r0_c640,356,45,386,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c640_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r0_c640_merged_mask_info.csv
r1024_c0,333,57,361,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c0_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c0_merged_mask_info.csv
r1024_c1024,318,51,342,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c1024_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c1024_merged_mask_info.csv
r1024_c1152,314,44,326,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c1152_merged_mask_info.csv
r1024_c128,346,42,361,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c128_merged_mask_info.csv
r1024_c1536,323,54,352,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c1536_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c1536_merged_mask_info.csv
r1024_c1664,318,66,359,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c1664_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c1664_merged_mask_info.csv
r1024_c2048,295,67,342,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c2048_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c2048_merged_mask_info.csv
r1024_c2176,316,67,359,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c2176_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c2176_merged_mask_info.csv
r1024_c2560,282,56,320,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c2560_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c2560_merged_mask_info.csv
r1024_c2688,272,49,302,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c2688_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c2688_merged_mask_info.csv
r1024_c512,377,48,396,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c512_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c512_merged_mask_info.csv
r1024_c640,380,58,392,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c640_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1024_c640_merged_mask_info.csv
r1536_c0,368,80,425,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c0_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c0_merged_mask_info.csv
r1536_c1024,325,50,361,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c1024_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c1024_merged_mask_info.csv
r1536_c1152,340,62,370,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c1152_merged_mask_info.csv
r1536_c128,365,52,397,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c128_merged_mask_info.csv
r1536_c1536,354,62,378,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c1536_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c1536_merged_mask_info.csv
r1536_c1664,342,70,386,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c1664_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c1664_merged_mask_info.csv
r1536_c2048,349,68,377,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c2048_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c2048_merged_mask_info.csv
r1536_c2176,338,55,355,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c2176_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c2176_merged_mask_info.csv
r1536_c2560,285,37,309,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c2560_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c2560_merged_mask_info.csv
r1536_c2688,290,32,316,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c2688_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c2688_merged_mask_info.csv
r1536_c512,312,39,333,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c512_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c512_merged_mask_info.csv
r1536_c640,332,39,347,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c640_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r1536_c640_merged_mask_info.csv
r2048_c0,335,72,392,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r2048_c0_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r2048_c0_merged_mask_info.csv
r2048_c1024,296,38,316,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r2048_c1024_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r2048_c1024_merged_mask_info.csv
r2048_c1152,303,49,323,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r2048_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r2048_c1152_merged_mask_info.csv
r2048_c128,312,65,356,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r2048_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Kidney_FFPE/maskann_size-512/sam2_merged_masks/r2048_c128_merged_mask_info.csv
