id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
2,492,132.0,33.0,28.0,22.0,0.90234375,0.9639278650283812,ST
3,642,51.0,447.0,32.0,31.0,0.90234375,0.963680386543274,ST
4,185,288.0,133.0,14.0,16.0,0.8984375,0.9629629850387572,ST
5,5239,0.0,295.0,82.0,103.0,0.94140625,0.9583488702774048,ST
7,297,279.0,381.0,19.0,20.0,0.86328125,0.9536423683166504,ST
8,249,154.0,270.0,15.0,21.0,0.87109375,0.953125,ST
9,252,74.0,241.0,21.0,16.0,0.87109375,0.9501915574073792,ST
10,3485,0.0,105.0,55.0,90.0,0.94921875,0.9494413137435912,ST
11,1524,486.0,427.0,26.0,85.0,0.87109375,0.9486191272735596,ST
12,1948,407.0,409.0,46.0,53.0,0.9296875,0.9484742283821106,ST
13,1170,353.0,248.0,24.0,75.0,0.890625,0.9482470750808716,ST
14,2200,29.0,481.0,88.0,31.0,0.91015625,0.9482071995735168,ST
15,320,304.0,179.0,17.0,24.0,0.87109375,0.9481707215309144,ST
16,950,153.0,137.0,28.0,45.0,0.9296875,0.947692334651947,ST
17,568,376.0,29.0,26.0,31.0,0.890625,0.9470198750495912,ST
18,3637,463.0,157.0,49.0,98.0,0.94140625,0.9460692405700684,ST
19,360,498.0,45.0,14.0,35.0,0.87890625,0.9435483813285828,ST
20,407,467.0,457.0,32.0,55.0,0.90625,0.942139744758606,ST
21,451,459.0,473.0,28.0,39.0,0.8828125,0.9415204524993896,ST
22,95,386.0,163.0,20.0,24.0,0.86328125,0.9399656653404236,ST
23,290,269.0,213.0,19.0,22.0,0.890625,0.9368770718574524,ST
24,527,304.0,179.0,25.0,58.0,0.921875,0.9367088675498962,ST
25,5,0.0,397.0,6.0,2.0,0.90625,0.9348914623260498,ST
26,181,297.0,497.0,17.0,15.0,0.7734375,0.93478262424469,ST
27,446,234.0,176.0,22.0,28.0,0.84765625,0.933760702610016,ST
28,7231,382.0,52.0,88.0,103.0,0.94921875,0.9337349534034728,ST
29,2631,382.0,461.0,93.0,42.0,0.87890625,0.9324522614479064,ST
30,930,156.0,201.0,35.0,36.0,0.8671875,0.9322916865348816,ST
31,1518,146.0,465.0,57.0,40.0,0.88671875,0.9308005571365356,ST
32,437,152.0,498.0,40.0,14.0,0.83203125,0.9305993914604188,ST
33,1192,261.0,479.0,45.0,33.0,0.86328125,0.9305331110954284,ST
34,674,480.0,131.0,32.0,27.0,0.8359375,0.9301994442939758,ST
35,383,244.0,72.0,24.0,27.0,0.8203125,0.929648220539093,ST
36,947,410.0,487.0,52.0,25.0,0.87109375,0.9294935464859008,ST
37,1148,360.0,150.0,52.0,40.0,0.90625,0.9280575513839722,ST
38,4434,290.0,393.0,74.0,83.0,0.91796875,0.9269088506698608,ST
39,382,472.0,0.0,40.0,13.0,0.8125,0.9265822768211364,ST
40,296,453.0,352.0,15.0,28.0,0.87109375,0.925081431865692,ST
41,14,29.0,495.0,10.0,14.0,0.83984375,0.9236842393875122,ST
42,935,339.0,490.0,74.0,22.0,0.890625,0.9232571721076964,ST
43,762,0.0,0.0,61.0,45.0,0.796875,0.9232186675071716,ST
44,5,18.0,394.0,8.0,3.0,0.87109375,0.9212513566017152,ST
45,413,0.0,89.0,36.0,16.0,0.8671875,0.921113669872284,ST
46,1972,112.0,419.0,75.0,70.0,0.90625,0.9208353757858276,ST
47,759,0.0,85.0,68.0,21.0,0.828125,0.9208163022994996,ST
48,467,282.0,82.0,25.0,25.0,0.84375,0.9205702543258668,ST
49,643,255.0,364.0,37.0,26.0,0.98828125,0.9889374375343324,HE
52,597,412.0,359.0,34.0,26.0,0.9765625,0.9851668477058412,HE
53,430,193.0,496.0,34.0,16.0,0.96875,0.984889030456543,HE
54,672,272.0,348.0,44.0,28.0,0.96875,0.984728217124939,HE
55,454,332.0,229.0,23.0,25.0,0.97265625,0.9838802814483644,HE
56,830,128.0,8.0,39.0,26.0,0.9765625,0.9838279485702516,HE
57,551,180.0,309.0,26.0,27.0,0.9765625,0.983635425567627,HE
58,751,127.0,194.0,34.0,29.0,0.96875,0.983492910861969,HE
59,25,85.0,250.0,9.0,7.0,0.94921875,0.983263611793518,HE
60,1020,227.0,281.0,40.0,44.0,0.9765625,0.983127236366272,HE
61,439,306.0,150.0,24.0,24.0,0.96875,0.9830754995346068,HE
62,256,123.0,162.0,28.0,14.0,0.94921875,0.9830459356307985,HE
63,122,500.0,24.0,12.0,14.0,0.953125,0.9830297231674194,HE
64,308,411.0,408.0,46.0,52.0,0.984375,0.9829676747322084,HE
65,290,414.0,59.0,61.0,97.0,0.984375,0.9826111793518066,HE
67,676,390.0,0.0,29.0,30.0,0.96875,0.9819268584251404,HE
