id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,268,0.0,140.0,11.0,33.0,0.90625,0.9743589758872986,ST
2,705,158.0,4.0,34.0,26.0,0.921875,0.9722607731819152,ST
3,184,502.0,251.0,9.0,22.0,0.8203125,0.9631578922271729,ST
4,105,233.0,327.0,12.0,9.0,0.81640625,0.9629629850387572,ST
5,313,202.0,497.0,24.0,14.0,0.89453125,0.962499976158142,ST
6,223,491.0,500.0,20.0,11.0,0.7890625,0.9605262875556946,ST
7,270,113.0,454.0,16.0,19.0,0.91796875,0.959854006767273,ST
8,361,287.0,421.0,23.0,18.0,0.91796875,0.95923912525177,ST
9,1198,115.0,474.0,56.0,37.0,0.91015625,0.9591169357299804,ST
10,607,433.0,0.0,30.0,24.0,0.890625,0.9580644965171814,ST
11,227,277.0,484.0,17.0,18.0,0.90234375,0.9570815563201904,ST
12,273,0.0,308.0,10.0,28.0,0.90234375,0.9537366628646852,ST
13,2631,0.0,0.0,53.0,66.0,0.95703125,0.9531598687171936,ST
14,411,0.0,223.0,14.0,32.0,0.87890625,0.9526066184043884,ST
15,281,264.0,57.0,19.0,18.0,0.85546875,0.9512194991111756,ST
16,554,402.0,313.0,28.0,22.0,0.86328125,0.9487632513046264,ST
17,603,47.0,76.0,27.0,26.0,0.92578125,0.9483036994934082,ST
18,168,0.0,494.0,10.0,17.0,0.796875,0.948275864124298,ST
19,297,491.0,491.0,20.0,20.0,0.83203125,0.9475409984588624,ST
20,470,48.0,478.0,21.0,26.0,0.87109375,0.9458333253860474,ST
21,267,0.0,223.0,13.0,20.0,0.90625,0.94525545835495,ST
22,160,307.0,370.0,12.0,15.0,0.7734375,0.9447852969169616,ST
23,1007,300.0,9.0,31.0,41.0,0.921875,0.944767415523529,ST
24,228,46.0,112.0,14.0,17.0,0.875,0.9444444179534912,ST
25,536,176.0,498.0,50.0,13.0,0.87109375,0.943533718585968,ST
26,50,499.0,242.0,5.0,9.0,0.71875,0.942307710647583,ST
27,1991,182.0,137.0,45.0,61.0,0.890625,0.9420360326766968,ST
28,348,176.0,449.0,19.0,20.0,0.828125,0.9418282508850098,ST
29,636,324.0,316.0,30.0,29.0,0.91015625,0.941717803478241,ST
30,713,0.0,258.0,10.0,78.0,0.87890625,0.94062077999115,ST
31,1024,57.0,0.0,38.0,34.0,0.87890625,0.9405099153518676,ST
32,906,37.0,186.0,30.0,39.0,0.87109375,0.9366952776908876,ST
33,5411,297.0,52.0,76.0,95.0,0.9375,0.9359111785888672,ST
34,1464,473.0,395.0,38.0,47.0,0.9140625,0.935888946056366,ST
35,301,54.0,501.0,40.0,10.0,0.828125,0.9356912970542908,ST
36,464,96.0,0.0,20.0,27.0,0.83984375,0.935684621334076,ST
37,1595,0.0,435.0,47.0,55.0,0.90234375,0.9355623126029968,ST
38,164,366.0,0.0,20.0,10.0,0.8125,0.9345238208770752,ST
39,572,424.0,431.0,27.0,27.0,0.8984375,0.9342327117919922,ST
40,312,0.0,493.0,21.0,18.0,0.7734375,0.9341692924499512,ST
41,482,45.0,267.0,22.0,27.0,0.80859375,0.9340000152587892,ST
42,311,51.0,330.0,18.0,19.0,0.8046875,0.9339622855186462,ST
43,2245,217.0,340.0,61.0,57.0,0.91796875,0.9333046674728394,ST
