coord,HE_instances,ST_instances,merged_instances,out_mask,out_info
r0_c1154,176,53,217,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c1154_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c1154_merged_mask_info.csv
r0_c130,27,23,44,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c130_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c130_merged_mask_info.csv
r0_c1666,96,29,120,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c1666_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c1666_merged_mask_info.csv
r0_c2178,158,18,145,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c2178_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c2178_merged_mask_info.csv
r0_c2690,177,30,197,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c2690_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c2690_merged_mask_info.csv
r0_c642,174,56,219,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c642_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r0_c642_merged_mask_info.csv
r1024_c1154,117,35,135,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r1024_c1154_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r1024_c1154_merged_mask_info.csv
r1024_c130,50,29,72,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r1024_c130_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r1024_c130_merged_mask_info.csv
r1024_c1666,217,43,235,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r1024_c1666_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r1024_c1666_merged_mask_info.csv
r1024_c2178,124,26,138,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r1024_c2178_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1//maskann_size-512/sam2_merged_masks/r1024_c2178_merged_mask_info.csv
