id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
177,27340,0.0,0.0,268.0,236.0,,,
255,136,80.0,0.0,12.0,16.0,,,
256,124,89.0,16.0,14.0,12.0,,,
257,342,54.0,42.0,27.0,18.0,,,
259,109,57.0,61.0,14.0,10.0,,,
260,146,85.0,50.0,16.0,13.0,,,
261,265,123.0,44.0,24.0,23.0,,,
262,263,99.0,205.0,22.0,22.0,,,
263,270,107.0,252.0,19.0,18.0,,,
264,262,24.0,193.0,21.0,29.0,,,
265,276,32.0,274.0,22.0,17.0,,,
266,154,33.0,302.0,15.0,14.0,,,
267,235,52.0,308.0,14.0,22.0,,,
268,713,72.0,300.0,37.0,30.0,,,
269,261,85.0,277.0,15.0,22.0,,,
270,278,114.0,301.0,17.0,21.0,,,
271,185,137.0,296.0,19.0,13.0,,,
272,86,133.0,310.0,11.0,10.0,,,
273,123,139.0,267.0,12.0,14.0,,,
274,59,155.0,222.0,11.0,7.0,,,
275,272,180.0,236.0,23.0,18.0,,,
276,740,164.0,260.0,31.0,31.0,,,
277,251,203.0,244.0,20.0,19.0,,,
278,456,1.0,295.0,23.0,27.0,,,
279,329,1.0,260.0,23.0,22.0,,,
280,735,12.0,345.0,34.0,43.0,,,
281,216,4.0,390.0,12.0,25.0,,,
282,143,131.0,481.0,18.0,10.0,,,
283,57,156.0,499.0,10.0,7.0,,,
284,99,188.0,473.0,13.0,12.0,,,
285,124,183.0,460.0,13.0,12.0,,,
286,125,158.0,427.0,14.0,12.0,,,
287,133,248.0,303.0,13.0,15.0,,,
288,207,256.0,292.0,15.0,19.0,,,
289,1120,321.0,474.0,41.0,37.0,,,
290,98,239.0,245.0,14.0,12.0,,,
291,94,229.0,207.0,15.0,9.0,,,
292,220,255.0,181.0,24.0,20.0,,,
293,411,281.0,185.0,25.0,24.0,,,
294,946,309.0,181.0,29.0,48.0,,,
295,164,324.0,263.0,15.0,14.0,,,
296,431,341.0,304.0,23.0,29.0,,,
297,244,213.0,27.0,16.0,22.0,,,
298,200,244.0,53.0,16.0,17.0,,,
299,353,239.0,73.0,30.0,26.0,,,
300,161,288.0,97.0,16.0,13.0,,,
301,335,315.0,107.0,21.0,24.0,,,
302,427,359.0,115.0,21.0,25.0,,,
303,597,319.0,35.0,26.0,35.0,,,
304,397,328.0,4.0,35.0,24.0,,,
305,162,394.0,0.0,13.0,16.0,,,
306,225,360.0,48.0,20.0,18.0,,,
307,231,349.0,75.0,20.0,17.0,,,
308,630,407.0,13.0,38.0,29.0,,,
309,90,443.0,31.0,15.0,8.0,,,
310,1390,415.0,46.0,61.0,34.0,,,
311,509,461.0,69.0,26.0,27.0,,,
312,229,431.0,83.0,20.0,15.0,,,
313,754,391.0,82.0,33.0,30.0,,,
314,180,389.0,121.0,17.0,15.0,,,
315,461,431.0,100.0,31.0,22.0,,,
316,48,430.0,140.0,8.0,8.0,,,
317,439,407.0,146.0,24.0,24.0,,,
318,280,373.0,166.0,27.0,16.0,,,
319,338,384.0,181.0,23.0,23.0,,,
320,185,339.0,179.0,24.0,12.0,,,
321,192,389.0,217.0,15.0,18.0,,,
322,320,384.0,246.0,21.0,23.0,,,
323,1451,474.0,0.0,38.0,43.0,,,
324,415,382.0,287.0,22.0,31.0,,,
325,188,427.0,346.0,22.0,15.0,,,
326,925,448.0,340.0,45.0,44.0,,,
327,2381,414.0,402.0,97.0,35.0,,,
328,234,397.0,437.0,27.0,13.0,,,
329,197,459.0,458.0,27.0,14.0,,,
330,133,502.0,443.0,10.0,16.0,,,
331,202,411.0,500.0,22.0,12.0,,,
332,75,263.0,3.0,11.0,9.0,,,
333,143,277.0,11.0,12.0,15.0,,,
335,7463,417.0,99.0,95.0,124.0,,,
336,12228,400.0,205.0,112.0,141.0,,,
337,953,479.0,357.0,33.0,46.0,,,
339,1876,0.0,316.0,59.0,59.0,,,
340,17199,0.0,335.0,174.0,177.0,,,
341,1541,65.0,482.0,68.0,30.0,,,
342,9939,152.0,409.0,159.0,103.0,,,
343,26439,105.0,266.0,314.0,186.0,,,
344,10453,307.0,432.0,205.0,80.0,,,
345,199,333.0,138.0,17.0,15.0,,,
346,264,282.0,371.0,21.0,18.0,,,
347,153,352.0,389.0,19.0,10.0,,,
348,249,412.0,378.0,19.0,17.0,,,
349,85,409.0,329.0,13.0,12.0,,,
350,111,451.0,215.0,11.0,16.0,,,
351,40,437.0,139.0,8.0,7.0,,,
352,138,502.0,39.0,10.0,17.0,,,
353,158,31.0,285.0,14.0,17.0,,,
354,286,196.0,253.0,24.0,19.0,,,
355,224,356.0,170.0,20.0,16.0,,,
356,133,479.0,54.0,13.0,13.0,,,
357,510,285.0,252.0,30.0,23.0,,,
358,400,490.0,72.0,22.0,31.0,,,
359,148,476.0,99.0,17.0,12.0,,,
360,354,150.0,478.0,26.0,21.0,,,
361,192,43.0,141.0,21.0,13.0,,,
362,2942,237.0,208.0,94.0,56.0,,,
363,7291,334.0,186.0,152.0,221.0,,,
364,1913,91.0,121.0,80.0,41.0,,,
