id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,238,452.0,0.0,22.0,14.0,0.91796875,0.9709543585777284,ST
2,250,93.0,358.0,19.0,16.0,0.91015625,0.9647058844566344,ST
3,338,393.0,500.0,37.0,11.0,0.86328125,0.9566473960876464,ST
4,451,0.0,91.0,10.0,49.0,0.921875,0.9544468522071838,ST
5,167,469.0,107.0,15.0,13.0,0.86328125,0.9532163739204408,ST
6,435,479.0,0.0,32.0,18.0,0.85546875,0.953125,ST
7,47550,298.0,137.0,213.0,298.0,0.98828125,0.9507126212120056,ST
8,1481,0.0,0.0,41.0,44.0,0.8984375,0.9503968358039856,ST
9,166,136.0,180.0,13.0,14.0,0.828125,0.9411764740943908,ST
10,1131,123.0,488.0,72.0,23.0,0.87109375,0.9408233165740968,ST
11,145,0.0,496.0,13.0,15.0,0.8203125,0.9391891956329346,ST
12,156,489.0,173.0,16.0,12.0,0.74609375,0.9375,ST
13,1090,43.0,249.0,30.0,48.0,0.890625,0.9344552755355836,ST
14,400,473.0,500.0,38.0,11.0,0.8046875,0.9343065619468688,ST
15,284,23.0,301.0,17.0,21.0,0.84765625,0.934256076812744,ST
16,1392,470.0,15.0,41.0,39.0,0.9140625,0.9337517619132996,ST
17,189,216.0,501.0,24.0,10.0,0.859375,0.9336734414100648,ST
18,116,393.0,4.0,12.0,12.0,0.78515625,0.9327731132507324,ST
19,2343,315.0,0.0,159.0,32.0,0.9140625,0.9299546480178832,ST
20,323,29.0,473.0,13.0,38.0,0.82421875,0.9289940595626832,ST
21,2047,313.0,0.0,89.0,33.0,0.921875,0.9281352758407592,ST
22,755,23.0,340.0,23.0,48.0,0.80078125,0.92592591047287,ST
23,469,262.0,469.0,26.0,26.0,0.828125,0.9254658222198486,ST
24,1082,86.0,474.0,36.0,37.0,0.8359375,0.92328280210495,ST
25,387,488.0,59.0,23.0,24.0,0.859375,0.9232673048973083,ST
26,1564,130.0,424.0,45.0,46.0,0.87109375,0.9230295419692992,ST
27,11980,155.0,148.0,137.0,144.0,0.921875,0.9224620461463928,ST
28,393,0.0,235.0,13.0,43.0,0.82421875,0.9209876656532288,ST
29,632,51.0,323.0,22.0,50.0,0.81640625,0.9208523631095886,ST
30,2984,156.0,26.0,35.0,126.0,0.8828125,0.920192301273346,ST
31,6025,225.0,270.0,92.0,106.0,0.9140625,0.920177400112152,ST
32,8624,2998.0,39.0,128.0,96.0,0.91796875,0.9747110605239868,HE
33,8670,932.0,1905.0,81.0,189.0,0.91796875,0.9736841917037964,HE
34,26866,514.0,19.0,159.0,466.0,0.96484375,0.9735537171363832,HE
35,51763,357.0,2343.0,232.0,507.0,0.97265625,0.9732301235198976,HE
36,6859,1638.0,3146.0,96.0,102.0,0.92578125,0.9726539850234984,HE
37,38792,1801.0,0.0,339.0,238.0,0.94140625,0.971875011920929,HE
39,24716,600.0,799.0,173.0,361.0,0.96484375,0.9713056087493896,HE
40,9474,367.0,3540.0,68.0,194.0,0.9375,0.9695647954940796,HE
41,7204,3220.0,37.0,96.0,112.0,0.9453125,0.969348669052124,HE
42,11566,2035.0,3342.0,200.0,223.0,0.93359375,0.9692425727844238,HE
44,9173,2373.0,2632.0,97.0,174.0,0.92578125,0.9685521125793456,HE
45,10166,3433.0,486.0,123.0,158.0,0.921875,0.967498540878296,HE
46,3533,1876.0,991.0,71.0,69.0,0.92578125,0.9658048152923584,HE
47,5396,1453.0,146.0,87.0,137.0,0.90625,0.9657496809959412,HE
48,43823,714.0,1182.0,228.0,388.0,0.953125,0.9625235199928284,HE
49,32627,81.0,1547.0,169.0,392.0,0.9453125,0.9617778658866882,HE
50,81628,1067.0,0.0,265.0,577.0,0.953125,0.9614881277084352,HE
52,146008,2214.0,0.0,753.0,326.0,0.95703125,0.9609230756759644,HE
53,22097,251.0,148.0,137.0,442.0,0.91796875,0.9601401090621948,HE
54,10146,1760.0,3282.0,108.0,129.0,0.9375,0.9599846005439758,HE
55,5817,2269.0,1105.0,162.0,173.0,0.89453125,0.9592249393463136,HE
56,13960149,0.0,0.0,3745.0,3734.0,0.98046875,0.958109974861145,HE
