coord,HE_instances,ST_instances,merged_instances,out_mask,out_info
r1152_c1280,298,39,315,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1152_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1152_c1280_merged_mask_info.csv
r1152_c1792,316,31,303,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1152_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1152_c1792_merged_mask_info.csv
r1152_c2304,109,17,115,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1152_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1152_c2304_merged_mask_info.csv
r1152_c768,154,20,167,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1152_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1152_c768_merged_mask_info.csv
r128_c1792,196,22,203,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r128_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r128_c1792_merged_mask_info.csv
r128_c2304,124,16,133,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r128_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r128_c2304_merged_mask_info.csv
r1664_c1280,288,32,301,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1664_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1664_c1280_merged_mask_info.csv
r1664_c1792,253,24,263,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1664_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1664_c1792_merged_mask_info.csv
r1664_c2304,150,33,165,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1664_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1664_c2304_merged_mask_info.csv
r1664_c768,222,18,151,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1664_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r1664_c768_merged_mask_info.csv
r2176_c1280,512,27,507,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c1280_merged_mask_info.csv
r2176_c1792,357,28,365,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c1792_merged_mask_info.csv
r2176_c2304,138,28,156,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c2304_merged_mask_info.csv
r2176_c256,278,22,298,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c256_merged_mask_info.csv
r2176_c768,439,18,29,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2176_c768_merged_mask_info.csv
r2688_c1280,435,21,446,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c1280_merged_mask_info.csv
r2688_c1792,260,9,264,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c1792_merged_mask_info.csv
r2688_c2304,39,8,44,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c2304_merged_mask_info.csv
r2688_c256,176,47,212,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c256_merged_mask_info.csv
r2688_c768,320,40,347,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r2688_c768_merged_mask_info.csv
r640_c1280,401,27,406,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r640_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r640_c1280_merged_mask_info.csv
r640_c1792,238,26,233,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r640_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r640_c1792_merged_mask_info.csv
r640_c2304,93,23,112,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r640_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Pancreas/maskann_size-512/sam2_merged_masks/r640_c2304_merged_mask_info.csv
