id,area,bbox_y,bbox_x,bbox_h,bbox_w,predicted_iou,stability_score,source
1,169,21.0,448.0,14.0,14.0,0.859375,0.9824561476707458,ST
2,98140,219.0,0.0,292.0,511.0,0.99609375,0.9374154210090636,ST
3,442,187.0,13.0,25.0,21.0,0.86328125,0.92592591047287,ST
4,63,283.0,284.0,7.0,9.0,0.72265625,0.9253731369972228,ST
5,3209,0.0,199.0,27.0,169.0,0.921875,0.9249177575111388,ST
6,935,175.0,219.0,25.0,55.0,0.8671875,0.923789918422699,ST
7,675,267.0,344.0,28.0,39.0,0.76953125,0.9234042763710022,ST
8,457,0.0,335.0,18.0,33.0,0.82421875,0.9205020666122437,ST
9,72421,2203.0,258.0,260.0,381.0,0.98828125,0.9869698882102966,HE
10,11602,2162.0,2009.0,99.0,156.0,0.96875,0.9842761754989624,HE
11,21886,1922.0,2161.0,185.0,177.0,0.98046875,0.983995258808136,HE
12,5278875,1506.0,9.0,2233.0,3730.0,0.99609375,0.9836754202842712,HE
13,9656,2047.0,767.0,110.0,132.0,0.953125,0.982556939125061,HE
14,2952,356.0,3640.0,60.0,68.0,0.9375,0.9805434346199036,HE
15,47337,2432.0,80.0,291.0,253.0,0.97265625,0.9761437773704528,HE
16,4253,1947.0,2406.0,43.0,129.0,0.92578125,0.972402572631836,HE
17,19164,70.0,160.0,158.0,168.0,0.921875,0.9702980518341064,HE
18,22378,228.0,231.0,180.0,168.0,0.92578125,0.9695835709571838,HE
19,17701,2374.0,648.0,98.0,281.0,0.94140625,0.965586006641388,HE
20,4769,1482.0,2384.0,81.0,130.0,0.921875,0.9647204279899596,HE
21,7819,2074.0,1542.0,96.0,114.0,0.9375,0.963922083377838,HE
22,3046,375.0,2057.0,55.0,69.0,0.89453125,0.963225781917572,HE
24,15820,1722.0,2097.0,125.0,167.0,0.93359375,0.9619130492210388,HE
25,181991,2532.0,0.0,470.0,899.0,0.97265625,0.9608309268951416,HE
26,4586,1583.0,2330.0,54.0,143.0,0.90625,0.9585381746292114,HE
27,27460,2302.0,641.0,175.0,259.0,0.93359375,0.957776129245758,HE
28,10552,2173.0,784.0,111.0,118.0,0.93359375,0.9576719403266908,HE
30,17181,2122.0,2196.0,136.0,194.0,0.9140625,0.9546850323677064,HE
31,2582,1595.0,2563.0,51.0,61.0,0.8984375,0.9542186856269836,HE
32,19322,683.0,235.0,127.0,232.0,0.92578125,0.9537692070007324,HE
33,5965,1952.0,1998.0,55.0,175.0,0.9140625,0.9500081539154052,HE
34,4542,628.0,3442.0,86.0,83.0,0.91796875,0.9495166540145874,HE
35,7328,2039.0,1671.0,83.0,125.0,0.8828125,0.9485850930213928,HE
36,2722,350.0,1448.0,80.0,91.0,0.87890625,0.9471428394317628,HE
37,10636,1446.0,2141.0,100.0,150.0,0.9140625,0.943859338760376,HE
38,14792,1331.0,2280.0,103.0,192.0,0.88671875,0.9438172578811646,HE
39,5889,1939.0,2530.0,88.0,90.0,0.87109375,0.942941963672638,HE
40,6682,2020.0,2283.0,86.0,109.0,0.921875,0.9416799545288086,HE
41,8812,1752.0,1833.0,124.0,99.0,0.890625,0.9415913820266724,HE
42,9083,1139.0,2292.0,99.0,131.0,0.91796875,0.9412959814071656,HE
43,5659,1800.0,2709.0,88.0,99.0,0.8984375,0.9400068521499634,HE
44,8542325,0.0,0.0,2993.0,3739.0,0.99609375,0.939699649810791,HE
45,18477,2357.0,1174.0,108.0,296.0,0.875,0.9355024695396424,HE
47,12908,2395.0,1077.0,123.0,169.0,0.9296875,0.9230997562408448,HE
